-- STATISTICS --

Step: A-3: total number of steps-> 519, mean duration-> 0.49723113s
Step: E-4: total number of steps-> 542, mean duration-> 0.505323s
Step: A-4: total number of steps-> 3, mean duration-> 0.21179879s


-- DETAILED --


Step A-3: @236.875, 0.3125s
Step E-4: @237.39583, 0.3333435s
Step A-3: @237.94792, 0.3229065s
Step E-4: @238.46875, 0.34375s
Step A-3: @238.98958, 0.34375s
Step E-4: @239.54167, 0.3229065s
Step A-3: @240.08333, 0.3020935s
Step E-4: @240.60417, 0.30207825s
Step A-3: @241.13542, 0.34375s
Step E-4: @241.65625, 0.34375s
Step A-3: @242.20833, 0.32292175s
Step E-4: @242.73958, 0.28125s
Step A-3: @243.27083, 0.29167175s
Step E-4: @243.8125, 0.29167175s
Step A-3: @244.34375, 0.26042175s
Step E-4: @244.89583, 0.29167175s
Step A-3: @245.4375, 0.20832825s
Step E-4: @245.94792, 0.2916565s
Step A-3: @246.47917, 0.33332825s
Step E-4: @247.02083, 0.3125s
Step A-3: @247.54167, 0.33332825s
Step E-4: @248.07292, 0.34375s
Step A-3: @248.61458, 0.32292175s
Step E-4: @249.14583, 0.3333435s
Step A-3: @249.6875, 0.34375s
Step E-4: @250.23958, 0.3125s
Step A-3: @250.77083, 0.3125s
Step E-4: @251.3125, 0.3125s
Step A-3: @251.85417, 0.25s
Step E-4: @252.375, 0.33332825s
Step A-3: @252.92708, 0.3333435s
Step E-4: @253.46875, 0.34375s
Step A-3: @254.01042, 0.3229065s
Step E-4: @254.54167, 0.33332825s
Step A-3: @255.08333, 0.34375s
Step E-4: @255.625, 0.33332825s
Step A-3: @256.15625, 0.3333435s
Step E-4: @256.6979, 0.291687s
Step A-3: @257.22916, 0.3333435s
Step E-4: @257.7604, 0.28125s
Step A-3: @258.29166, 0.3333435s
Step E-4: @258.83334, 0.2916565s
Step A-3: @259.35416, 0.354187s
Step E-4: @259.89584, 0.34375s
Step A-3: @260.4479, 0.322937s
Step E-4: @260.9896, 0.3229065s
Step A-3: @261.53125, 0.3645935s
Step E-4: @262.0729, 0.3645935s
Step A-3: @262.6354, 0.34375s
Step E-4: @263.1771, 0.3125s
Step A-3: @263.70834, 0.3541565s
Step E-4: @264.2604, 0.34375s
Step A-3: @264.79166, 0.34375s
Step E-4: @265.35416, 0.34375s
Step A-3: @265.8854, 0.354187s
Step E-4: @266.4375, 0.3541565s
Step A-3: @266.97916, 0.3125s
Step E-4: @267.52084, 0.3125s
Step A-3: @268.0625, 0.3125s
Step E-4: @268.59375, 0.3229065s
Step A-3: @269.14584, 0.3125s
Step E-4: @269.6771, 0.3229065s
Step A-3: @270.1979, 0.3645935s
Step E-4: @270.75, 0.3645935s
Step A-3: @271.3125, 0.1979065s
Step E-4: @271.8229, 0.322937s
Step A-3: @272.3646, 0.3125s
Step E-4: @272.89584, 0.364563s
Step A-3: @273.4479, 0.322937s
Step E-4: @273.97916, 0.3333435s
Step A-3: @274.52084, 0.3229065s
Step E-4: @275.0625, 0.2291565s
Step A-3: @275.60416, 0.291687s
Step E-4: @276.125, 0.28125s
Step A-3: @276.65625, 0.34375s
Step E-4: @277.20834, 0.3125s
Step A-3: @277.71875, 0.3541565s
Step E-4: @278.27084, 0.333313s
Step A-3: @278.8125, 0.3333435s
Step E-4: @279.34375, 0.3645935s
Step A-3: @279.89584, 0.2916565s
Step E-4: @280.4271, 0.3125s
Step A-3: @280.96875, 0.3229065s
Step E-4: @281.5, 0.34375s
Step A-3: @282.0625, 0.2395935s
Step E-4: @282.58334, 0.270813s
Step A-3: @283.125, 0.3229065s
Step E-4: @283.65625, 0.3229065s
