-- STATISTICS --

Step: A-3: total number of steps-> 478, mean duration-> 0.39548445s
Step: E-4: total number of steps-> 513, mean duration-> 0.42028126s
Step: A-4: total number of steps-> 3, mean duration-> 0.20834012s


-- DETAILED --


Step A-3: @257.5521, 0.270813s
Step E-4: @258.0625, 0.2916565s
Step A-3: @258.5729, 0.260437s
Step E-4: @259.08334, 0.270813s
Step A-3: @259.60416, 0.260437s
Step E-4: @260.10416, 0.291687s
Step A-3: @260.625, 0.25s
Step E-4: @261.1354, 0.2395935s
Step A-3: @261.64584, 0.270813s
Step E-4: @262.14584, 0.2916565s
Step A-3: @262.65625, 0.28125s
Step E-4: @263.16666, 0.3125s
Step A-3: @263.6771, 0.302063s
Step E-4: @264.1875, 0.3125s
Step A-3: @264.70834, 0.23956299s
Step E-4: @265.21875, 0.28125s
Step A-3: @265.72916, 0.2395935s
Step E-4: @266.22916, 0.2708435s
Step A-3: @266.75, 0.2395935s
Step E-4: @267.25, 0.2916565s
Step A-3: @267.77084, 0.302063s
Step E-4: @268.29166, 0.2708435s
Step A-3: @268.8021, 0.28125s
Step E-4: @269.3125, 0.3020935s
Step A-3: @269.83334, 0.28125s
Step E-4: @270.35416, 0.291687s
Step A-3: @270.875, 0.3125s
Step E-4: @271.3854, 0.291687s
Step A-3: @271.89584, 0.2916565s
Step E-4: @272.40625, 0.2916565s
Step A-3: @272.90625, 0.3020935s
Step E-4: @273.4271, 0.28125s
Step A-3: @273.9375, 0.2916565s
Step E-4: @274.45834, 0.25s
Step A-3: @274.95834, 0.270813s
Step E-4: @275.47916, 0.291687s
Step A-3: @276.0, 0.2708435s
Step E-4: @276.52084, 0.2916565s
Step A-3: @277.03125, 0.3125s
Step E-4: @277.5521, 0.3125s
Step A-3: @278.0729, 0.2395935s
Step E-4: @278.60416, 0.322937s
Step A-3: @279.1354, 0.28125s
Step E-4: @279.65625, 0.3229065s
Step A-3: @280.16666, 0.3333435s
Step E-4: @280.70834, 0.2916565s
Step A-3: @281.22916, 0.322937s
Step E-4: @281.75, 0.3229065s
Step A-3: @282.27084, 0.3229065s
Step E-4: @282.79166, 0.291687s
Step A-3: @283.3125, 0.28125s
Step E-4: @283.8229, 0.322937s
Step A-3: @284.33334, 0.3125s
Step E-4: @284.85416, 0.322937s
Step A-3: @285.35416, 0.322937s
Step E-4: @285.8854, 0.3125s
Step A-3: @286.39584, 0.302063s
Step E-4: @286.91666, 0.3125s
Step A-3: @287.4271, 0.3229065s
Step E-4: @287.9375, 0.3125s
Step A-3: @288.45834, 0.302063s
